pca_power('pendigits_training.txt','pendigits_test.txt',1,10)
Eigenvector  1
1 : -0.0232
2 : -0.0620
3 : 0.1834
4 : 0.1248
5 : 0.1986
6 : 0.3196
7 : 0.1424
8 : 0.4145
9 : 0.2070
10 : 0.2280
11 : 0.1692
12 : -0.1578
13 : -0.0426
14 : -0.4424
15 : -0.2142
16 : -0.4700
Test Object  0
1 :  -30.2944
Test Object  1
1 :  -15.0232
Test Object  2
1 :  -68.1632
Test Object  3
1 :  129.3199
Test Object  4
1 :  120.8471
Test Object  5
1 :  104.2367
Test Object  6
1 :  58.5028
Test Object  7
1 :  113.9486
Test Object  8
1 :  147.1039
Test Object  9
1 :  122.6369
Test Object  10
1 :  103.5348
Test Object  11
1 :  -42.7441
Test Object  12
1 :  101.6872
Test Object  13
1 :  -25.6928
Test Object  14
1 :  109.0259
Test Object  15
1 :  127.8556
Test Object  16
1 :  127.8986
Test Object  17
1 :  115.1861
Test Object  18
1 :  -44.3272
Test Object  19
1 :  65.4390
Test Object  20
1 :  64.3264
Test Object  21
1 :  -51.3682
Test Object  22
1 :  -5.3820
Test Object  23
1 :  51.3580
Test Object  24
1 :  11.2848
Test Object  25
1 :  -40.5859
Test Object  26
1 :  31.5998
Test Object  27
1 :  -21.7799
Test Object  28
1 :  43.8410
Test Object  29
1 :  90.9844
Test Object  30
1 :  140.1742
Test Object  31
1 :  131.6351
Test Object  32
1 :  -80.4002
Test Object  33
1 :  68.9239
Test Object  34
1 :  54.3778
Test Object  35
1 :  124.5722
Test Object  36
1 :  77.2526
Test Object  37
1 :  -32.7446
Test Object  38
1 :  148.3462
Test Object  39
1 :  60.3798
Test Object  40
1 :  -75.0715
Test Object  41
1 :  107.1179
Test Object  42
1 :  -78.8910
Test Object  43
1 :  21.9585
Test Object  44
1 :  -26.9466
Test Object  45
1 :  -57.2547
Test Object  46
1 :  45.8545
Test Object  47
1 :  -48.0099
Test Object  48
1 :  16.6855
Test Object  49
1 :  -15.2254
Test Object  50
1 :  118.2679
Test Object  51
1 :  121.8819
Test Object  52
1 :  119.5983
Test Object  53
1 :  45.3984
Test Object  54
1 :  73.6038
Test Object  55
1 :  66.6244
Test Object  56
1 :  97.2537
Test Object  57
1 :  25.6917
Test Object  58
1 :  -27.8401
Test Object  59
1 :  -42.3752
Test Object  60
1 :  -17.5582
Test Object  61
1 :  -35.5889
Test Object  62
1 :  16.2349
Test Object  63
1 :  95.0003
Test Object  64
1 :  98.6344
Test Object  65
1 :  129.0255
Test Object  66
1 :  46.7728
Test Object  67
1 :  -44.6105
Test Object  68
1 :  129.8222
Test Object  69
1 :  136.5635
Test Object  70
1 :  -19.0977
Test Object  71
1 :  119.7691
Test Object  72
1 :  68.4955
Test Object  73
1 :  84.9765
Test Object  74
1 :  122.2610
Test Object  75
1 :  110.7924
Test Object  76
1 :  -90.9632
Test Object  77
1 :  -56.4268
Test Object  78
1 :  -44.4359
Test Object  79
1 :  -63.3813
Test Object  80
1 :  -51.2587
Test Object  81
1 :  -43.0621
Test Object  82
1 :  96.2091
Test Object  83
1 :  91.6838
Test Object  84
1 :  108.0611
Test Object  85
1 :  76.1634
Test Object  86
1 :  35.0609
Test Object  87
1 :  -51.2014
Test Object  88
1 :  -42.0336
Test Object  89
1 :  -43.5628
Test Object  90
1 :  109.7201
Test Object  91
1 :  5.6272
